CaseStudyNo,Qno,Chapter
32,2,Chapter 8: Deductions from Gross Total Income
32,3,Chapter 1: Basic Concepts
32,4,Chapter 21: Non Resident Taxation
32,5,Chapter 21: Non Resident Taxation
33,1,"Chapter 13: Deduction, Collection and Recovery of Tax"
33,2,"Chapter 13: Deduction, Collection and Recovery of Tax"
33,3,Chapter 12: Taxation of Digital Transactions
33,4,"Chapter 13: Deduction, Collection and Recovery of Tax"
34,1,Chapter 24: Transfer Pricing
34,2,Chapter 21: Non Resident Taxation
34,3,Chapter 17: Dispute Resolution
35,1,Chapter 4: Capital Gains
35,2,Chapter 4: Capital Gains
35,3,Chapter 4: Capital Gains
35,4,Chapter 5: Income from Other Sources
35,5,Chapter 5: Income from Other Sources
