Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
7,5,"Mr. Pukhraj Gupta is a registered supplier of goods and services under GST in the State of Karnataka.  He provided the following details of outward transactions belong to the current financial year: Particulars Amount (`) Taxable supply 1,40,00,000 Exempted supply 3,50,000 Interest received on unsecured loan (not included in above) 2,00,000 Transfer goods to the residence of his brother, a well-known professional. Free of cost but the open market value is ` 40,000 During the month of April, Pukhraj Gupta provided the following outward supplies: Particulars Amount (`) Taxable supply of goods 4,00,000 Insurance agent service to Suraksha Insurance Company, registered under GST 30,000 Interest received for late payment from various customers 10,000 Recovery agent service to Vipul Limited, a trader of goods 40,000 Security service provided to Bachpan School (upto higher secondary), an unregistered person under GST, at its Annual Day function held at Vallabh Convention centre being outside the school campus. 50,000 Renting of motor vehicle designed to carry passenger provided to M Sea Limited wherein cost of fuel in included (applicable rate of CGST is 2.50% and SGST is 2.50%) 80,000 Received with reference to a contract of ` 5,00,000 for supply of taxable goods awarded by a public sector undertaking (PSU) registered under section 51 in the State of Tamil Nadu, goods were delivered in the State of Karnataka as per instruction of the PSU. 1,50,000 Further, on 20th April, he hired Perfect Planner of Japan to plan and organize his events under a composite contract of all events. First event was organized at Mumbai while second event was held at Paris (France) In addition to the above, proper officer has issued an order under GST dated 10th April, and raised a demand of ` 33 lakh (Tax - ` 20 lakh, interest - ` 3 lakh and penalty ` 10 lakh) in respect of an intra-State transaction. The above amounts are related to the CGST only. Pukhraj Gupta admitted the tax demand of ` 5 lakh and interest demand of ` 2 lakh and disputed the remaining tax and interest demand and entire penalty demanded. Pukhraj Gupta wants to file an appeal before the Appellant Authority. All amounts given above are exclusive of taxes, wherever applicable. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 5 below:",What is the place of supply in respect of transaction with Perfect Planner?,Mumbai for both the events,Karnataka for both the events,For first event- Mumbai and for second event- Paris,Japan for both the events,A,"In accordance with section 13(6) of the IGST Act, 2017, where services supplied by way of organisation of a cultural, artistic, sporting, scientific, educational or entertainment or a celebration, conference, fair, exhibition or similar events, are supplied at more than one location, including a location in the taxable territory, its place of supply shall be the location in the taxable territory. So, in this case, the place of supply will be Mumbai for both the events, because first event was organized at Mumbai (taxable territory)."
8,1,"M/s Far Sites (hereinafter referred as FS) is a proprietorship firm registered under GST in Chandigarh and deals in supply of variety of goods including electronic goods and repair & maintenance thereof. FS furnishes following information for the month of December: Outward supplies during the month of December are as under: Particulars ` Supply of goods to unregistered persons in Chandigarh (Out of the aforesaid supply, goods worth ` 1,00,000 were not liable to GST. However, FS inadvertently charged GST on such goods and collected the same from the customers). 10,00,000 Supply of goods to registered suppliers located in Punjab 20,00,000 Repair & maintenance services provided to unregistered persons located in Haryana 7,00,000 Inward supplies during the month of December are as under: Particulars ` Purchase of TV sets from registered suppliers. During unloading of said TV sets, five LED TVs and two QLED TVs valued to ` 2,00,000 got completely damaged, but the supplier refused to replace the same. 20,00,000 Purchase of washing machine from unregistered suppliers (Intra-State supply) 5,00,000 Transportation charges paid to Sri Logistics (unregistered GTA) 1,00,000 Further, the following information is also provided related to December: (1) FS received security services from LML Limited, Chandigarh amounting to ` 50,000. LML Limited is an unregistered supplier. (2) Rent of shop paid to Municipal Corporation of Chandigarh - ` 50,000 (3) Legal fee of ` 10,000 paid to Mr. Prakash, a Senior Advocate of Punjab and Haryana High Court for providing legal advice. (4) FS procured old and used goods worth ` 5,00,000 on which GST is payable on reverse charge basis. The goods were received on 25th December. The supplier issued the invoice on 24th December and payment for the same was debited from the bank account of FS on 31st December. Since the accountant was on leave, the transaction was recorded in the books of accounts on 1st January. Applicable rate of GST on all supplies was 18% except for transportation charges for which the applicable GST rate is 5%. Ignore bifurcation of CGST, SGST and IGST. Turnover of last financial year is ` 30 lakh. There is no opening ITC available for the relevant tax period in the electronic credit ledger of FS.  All the above information pertains to same financial year. Note: All the above amounts are exclusive of GST, except wherever explicitly stated. Based on the facts of the case scenario given above, choose the correct answer to Q. Nos. 1 to 4 below:",The total value of inward supplies on which GST is payable by FS under reverse charge for December is ______________.,"` 7,10,000","` 6,60,000","` 11,60,000","` 12,10,000",B,"Computation of total value of inward supplies on which GST is payable on reverse charge Particulars ` Transportation services from unregistered GTA 1,00,000 [Services by a Goods Transport Agency (GTA) in respect of transportation of goods by road provided to a registered person is taxable under reverse charge; since Sri Logistics is unregistered, it would not have exercised option to pay tax under forward charge.] Security services [Not taxable under reverse charge since services are being provided by a body corporate.] Legal services Legal services provided by a senior advocate to any business entity (with an aggregate turnover more than such amount in the preceding FY as makes it eligible for exemption from registration under GST) located in the taxable territory is taxable under reverse charge.] 10,000 Procured old and used goods on which GST is payable on reverse charge basis 5,00,000 Rent of shop paid to Municipal Corporation [Taxable under reverse charge since renting of immovable property services are being provided by local authority to a registered person.] 50,000 Total 6,60,000"
8,2,"M/s Far Sites (hereinafter referred as FS) is a proprietorship firm registered under GST in Chandigarh and deals in supply of variety of goods including electronic goods and repair & maintenance thereof. FS furnishes following information for the month of December: Outward supplies during the month of December are as under: Particulars ` Supply of goods to unregistered persons in Chandigarh (Out of the aforesaid supply, goods worth ` 1,00,000 were not liable to GST. However, FS inadvertently charged GST on such goods and collected the same from the customers). 10,00,000 Supply of goods to registered suppliers located in Punjab 20,00,000 Repair & maintenance services provided to unregistered persons located in Haryana 7,00,000 Inward supplies during the month of December are as under: Particulars ` Purchase of TV sets from registered suppliers. During unloading of said TV sets, five LED TVs and two QLED TVs valued to ` 2,00,000 got completely damaged, but the supplier refused to replace the same. 20,00,000 Purchase of washing machine from unregistered suppliers (Intra-State supply) 5,00,000 Transportation charges paid to Sri Logistics (unregistered GTA) 1,00,000 Further, the following information is also provided related to December: (1) FS received security services from LML Limited, Chandigarh amounting to ` 50,000. LML Limited is an unregistered supplier. (2) Rent of shop paid to Municipal Corporation of Chandigarh - ` 50,000 (3) Legal fee of ` 10,000 paid to Mr. Prakash, a Senior Advocate of Punjab and Haryana High Court for providing legal advice. (4) FS procured old and used goods worth ` 5,00,000 on which GST is payable on reverse charge basis. The goods were received on 25th December. The supplier issued the invoice on 24th December and payment for the same was debited from the bank account of FS on 31st December. Since the accountant was on leave, the transaction was recorded in the books of accounts on 1st January. Applicable rate of GST on all supplies was 18% except for transportation charges for which the applicable GST rate is 5%. Ignore bifurcation of CGST, SGST and IGST. Turnover of last financial year is ` 30 lakh. There is no opening ITC available for the relevant tax period in the electronic credit ledger of FS.  All the above information pertains to same financial year. Note: All the above amounts are exclusive of GST, except wherever explicitly stated. Based on the facts of the case scenario given above, choose the correct answer to Q. Nos. 1 to 4 below:","The amount of eligible input tax credit, ignoring reversal under rule 42 or 43, if any, that can be availed by FS for December is ______________.","` 6,18,800","` 4,38,800","` 5,28,800","` 4,29,800",D,"Computation of amount of eligible input tax credit Particulars ` Purchase of TV sets from registered suppliers [18% of ` 18,00,000 (` 20,00,000 -` 2,00,000)] 3,24,000 Old and used goods on which GST is payable on reverse charge basis [5,00,000 x 18%] 90,000 Rent of shop paid to Municipal Corporation of Chandigarh 9,000 [50,000 x 18%] Transportation charges [1,00,000 x 5%] 5,000 Legal fee [10,000 x 18%] 1,800 Security services [No ITC is available since supplier is unregistered and tax is not payable under reverse charge.] Total 4,29,800"
8,3,"M/s Far Sites (hereinafter referred as FS) is a proprietorship firm registered under GST in Chandigarh and deals in supply of variety of goods including electronic goods and repair & maintenance thereof. FS furnishes following information for the month of December: Outward supplies during the month of December are as under: Particulars ` Supply of goods to unregistered persons in Chandigarh (Out of the aforesaid supply, goods worth ` 1,00,000 were not liable to GST. However, FS inadvertently charged GST on such goods and collected the same from the customers). 10,00,000 Supply of goods to registered suppliers located in Punjab 20,00,000 Repair & maintenance services provided to unregistered persons located in Haryana 7,00,000 Inward supplies during the month of December are as under: Particulars ` Purchase of TV sets from registered suppliers. During unloading of said TV sets, five LED TVs and two QLED TVs valued to ` 2,00,000 got completely damaged, but the supplier refused to replace the same. 20,00,000 Purchase of washing machine from unregistered suppliers (Intra-State supply) 5,00,000 Transportation charges paid to Sri Logistics (unregistered GTA) 1,00,000 Further, the following information is also provided related to December: (1) FS received security services from LML Limited, Chandigarh amounting to ` 50,000. LML Limited is an unregistered supplier. (2) Rent of shop paid to Municipal Corporation of Chandigarh - ` 50,000 (3) Legal fee of ` 10,000 paid to Mr. Prakash, a Senior Advocate of Punjab and Haryana High Court for providing legal advice. (4) FS procured old and used goods worth ` 5,00,000 on which GST is payable on reverse charge basis. The goods were received on 25th December. The supplier issued the invoice on 24th December and payment for the same was debited from the bank account of FS on 31st December. Since the accountant was on leave, the transaction was recorded in the books of accounts on 1st January. Applicable rate of GST on all supplies was 18% except for transportation charges for which the applicable GST rate is 5%. Ignore bifurcation of CGST, SGST and IGST. Turnover of last financial year is ` 30 lakh. There is no opening ITC available for the relevant tax period in the electronic credit ledger of FS.  All the above information pertains to same financial year. Note: All the above amounts are exclusive of GST, except wherever explicitly stated. Based on the facts of the case scenario given above, choose the correct answer to Q. Nos. 1 to 4 below:","Net GST payable in cash (ignore bifurcation of CGST, SGST and IGST) by FS for the month of December is ______________.","` 3,73,800","` 3,86,800","` 1,84,800","` 3,42,000",D,"Computation of amount of net GST payable in cash Particulars Amount (in `) GST @ 18% unless specified (in `) Details of outward supplies Supply of goods to unregistered persons in Chandigarh (including ` 1,00,000 on which tax is inadvertently collected in terms of section 76) 10,00,000 1,80,000 Supply of goods to registered suppliers in Punjab 20,00,000 3,60,000 Repairs & maintenance services provided to unregistered persons located in Haryana 7,00,000 1,26,000 Output tax payable 6,66,000 Less: ITC available (as computed in Answer 2 above) (4,29,800) Net GST payable in cash 2,36,200 Add: Inward supplies tax on which is payable under reverse charge Transportation charges to unregistered GTA 1,00,000 5,000 [GST @ 5%] Rent paid to Municipal Corporation 50,000 9,000 Legal fee paid to Mr. Prakash, Senior Advocate 1,00,000 1,800 Old & used goods on which tax is payable under reverse charge 5,00,000 90,000 Net GST payable in cash 3,42,000"
8,4,"M/s Far Sites (hereinafter referred as FS) is a proprietorship firm registered under GST in Chandigarh and deals in supply of variety of goods including electronic goods and repair & maintenance thereof. FS furnishes following information for the month of December: Outward supplies during the month of December are as under: Particulars ` Supply of goods to unregistered persons in Chandigarh (Out of the aforesaid supply, goods worth ` 1,00,000 were not liable to GST. However, FS inadvertently charged GST on such goods and collected the same from the customers). 10,00,000 Supply of goods to registered suppliers located in Punjab 20,00,000 Repair & maintenance services provided to unregistered persons located in Haryana 7,00,000 Inward supplies during the month of December are as under: Particulars ` Purchase of TV sets from registered suppliers. During unloading of said TV sets, five LED TVs and two QLED TVs valued to ` 2,00,000 got completely damaged, but the supplier refused to replace the same. 20,00,000 Purchase of washing machine from unregistered suppliers (Intra-State supply) 5,00,000 Transportation charges paid to Sri Logistics (unregistered GTA) 1,00,000 Further, the following information is also provided related to December: (1) FS received security services from LML Limited, Chandigarh amounting to ` 50,000. LML Limited is an unregistered supplier. (2) Rent of shop paid to Municipal Corporation of Chandigarh - ` 50,000 (3) Legal fee of ` 10,000 paid to Mr. Prakash, a Senior Advocate of Punjab and Haryana High Court for providing legal advice. (4) FS procured old and used goods worth ` 5,00,000 on which GST is payable on reverse charge basis. The goods were received on 25th December. The supplier issued the invoice on 24th December and payment for the same was debited from the bank account of FS on 31st December. Since the accountant was on leave, the transaction was recorded in the books of accounts on 1st January. Applicable rate of GST on all supplies was 18% except for transportation charges for which the applicable GST rate is 5%. Ignore bifurcation of CGST, SGST and IGST. Turnover of last financial year is ` 30 lakh. There is no opening ITC available for the relevant tax period in the electronic credit ledger of FS.  All the above information pertains to same financial year. Note: All the above amounts are exclusive of GST, except wherever explicitly stated. Based on the facts of the case scenario given above, choose the correct answer to Q. Nos. 1 to 4 below:",What is the time limit for issuance of show cause notice in respect of the GST inadvertently charged and collected on the goods in December assuming that FS does not deposit the same with the Government?,Within 2 years and 9 months from due date of filing annual return for the financial year.,Within 4 years and 6 months from due date of filing annual return for the financial year.,No time limit to issue the show cause notice.,No show cause notice is required to be issued.  The tax amount shall be refunded to the customers if the customer demands the same.,C,"As per section 76, where any amount of tax collected by supplier required to be paid to the Government, which has not been so paid to the Government, the proper officer may serve on the person liable to pay such amount a notice requiring him to show cause as to why the said amount as specified in the notice, should not be paid by him to the Government and why a penalty equivalent to the amount specified in the notice should not be imposed on him under the provisions of this Act.  No time limit has been prescribed in this case for issuing the show cause notice."
9,1,"LLD & Co., a partnership firm, is engaged exclusively in manufacturing of electric equipment in the State of Gujarat. The firm became liable for registration on 14th April since its turnover exceeded the applicable threshold limit. It applied for registration on 16th May and was granted registration certificate on 20th May. The firm had opted for composition levy under section 10 at the time of registration. Its turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, out of which taxable supply was amounting to ` 80 lakh and exempt supply was amounting to ` 2 lakh. Its turnover crossed ` 150 lakh on 9th July and LLD & Co. had opted for withdrawal of composition scheme on the said date. The firm provided a supply of equipment to GGY Ltd. (an unrelated limited company) on 20th July having market value of ` 21 lakh, wholesale value of ` 22 lakh and maximum retail price was ` 23 lakh. However, the transaction was made at ` 18 lakh. During the month of June, LLD & Co. has received one taxable service covered under reverse charge under section 9(3) from a registered supplier Mr. Sachin Kumar in the course of intra-State supply. LLD & Co. failed to issue any document to Mr. Sachin Kumar relating to this transaction. Other details for this particular inward service are as follows: Particulars Date Supply of service 3rd June Invoice raised by Mr. Sachin Kumar 9th July Payment recorded in the books of LLD & Co. 7th August Payment debited in the bank account of LLD & Co 14th August Payment recorded in the books of Mr. Sachin Kumar 8th August Payment credited in the bank account of Mr. Sachin Kumar 16th August LLD & Co has not opted QRMP Scheme All the amounts given above are exclusive of taxes, wherever applicable. All the supplies referred above are intra-State and price is the sole consideration. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",The effective date of registration of LLD & Co. is:,14th May,16th May,14th April,20th May,D,"As per section 25 read with rule 10, where an applicant submits application for registration after 30 days from the date the person becomes liable to registration, effective date of registration is date of grant of registration. In this case, since the application is made after 30 days, effective date of registration is 20th May i.e. date of grant of registration."
9,2,"LLD & Co., a partnership firm, is engaged exclusively in manufacturing of electric equipment in the State of Gujarat. The firm became liable for registration on 14th April since its turnover exceeded the applicable threshold limit. It applied for registration on 16th May and was granted registration certificate on 20th May. The firm had opted for composition levy under section 10 at the time of registration. Its turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, out of which taxable supply was amounting to ` 80 lakh and exempt supply was amounting to ` 2 lakh. Its turnover crossed ` 150 lakh on 9th July and LLD & Co. had opted for withdrawal of composition scheme on the said date. The firm provided a supply of equipment to GGY Ltd. (an unrelated limited company) on 20th July having market value of ` 21 lakh, wholesale value of ` 22 lakh and maximum retail price was ` 23 lakh. However, the transaction was made at ` 18 lakh. During the month of June, LLD & Co. has received one taxable service covered under reverse charge under section 9(3) from a registered supplier Mr. Sachin Kumar in the course of intra-State supply. LLD & Co. failed to issue any document to Mr. Sachin Kumar relating to this transaction. Other details for this particular inward service are as follows: Particulars Date Supply of service 3rd June Invoice raised by Mr. Sachin Kumar 9th July Payment recorded in the books of LLD & Co. 7th August Payment debited in the bank account of LLD & Co 14th August Payment recorded in the books of Mr. Sachin Kumar 8th August Payment credited in the bank account of Mr. Sachin Kumar 16th August LLD & Co has not opted QRMP Scheme All the amounts given above are exclusive of taxes, wherever applicable. All the supplies referred above are intra-State and price is the sole consideration. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",LLD & Co. needs to furnish a statement containing details of stock of inputs/ inputs contained in semi-finished / finished goods on the withdrawal of composition scheme by:,23rd July,9th July,8th August,7th August,C,"Once the aggregate turnover of a registered person opting for composition scheme exceeds ` 150 lakh, option to pay tax under composition scheme shall be withdrawn.  Further, such person needs to furnish a statement in prescribed form containing details of the stock of inputs and inputs contained in semi-finished or finished goods held in stock by him on the date on which the option is withdrawn, within a period of 30 days from the date from which the option is withdrawn [Rule 6]."
9,3,"LLD & Co., a partnership firm, is engaged exclusively in manufacturing of electric equipment in the State of Gujarat. The firm became liable for registration on 14th April since its turnover exceeded the applicable threshold limit. It applied for registration on 16th May and was granted registration certificate on 20th May. The firm had opted for composition levy under section 10 at the time of registration. Its turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, out of which taxable supply was amounting to ` 80 lakh and exempt supply was amounting to ` 2 lakh. Its turnover crossed ` 150 lakh on 9th July and LLD & Co. had opted for withdrawal of composition scheme on the said date. The firm provided a supply of equipment to GGY Ltd. (an unrelated limited company) on 20th July having market value of ` 21 lakh, wholesale value of ` 22 lakh and maximum retail price was ` 23 lakh. However, the transaction was made at ` 18 lakh. During the month of June, LLD & Co. has received one taxable service covered under reverse charge under section 9(3) from a registered supplier Mr. Sachin Kumar in the course of intra-State supply. LLD & Co. failed to issue any document to Mr. Sachin Kumar relating to this transaction. Other details for this particular inward service are as follows: Particulars Date Supply of service 3rd June Invoice raised by Mr. Sachin Kumar 9th July Payment recorded in the books of LLD & Co. 7th August Payment debited in the bank account of LLD & Co 14th August Payment recorded in the books of Mr. Sachin Kumar 8th August Payment credited in the bank account of Mr. Sachin Kumar 16th August LLD & Co has not opted QRMP Scheme All the amounts given above are exclusive of taxes, wherever applicable. All the supplies referred above are intra-State and price is the sole consideration. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",The value of supply of equipment under section 15(1) made by LLD & Co. to GGY Ltd. will be,` 21 lakh,` 18 lakh,` 22 lakh,` 23 lakh,B,"As per section 15, if the supply is made between unrelated persons and price is the sole consideration for the supply, then value of supply will be transaction value. Hence, in this case, value of supply of equipment under section 15(1) will be ` 18 lakh, being the amount on which transaction was made."
9,4,"LLD & Co., a partnership firm, is engaged exclusively in manufacturing of electric equipment in the State of Gujarat. The firm became liable for registration on 14th April since its turnover exceeded the applicable threshold limit. It applied for registration on 16th May and was granted registration certificate on 20th May. The firm had opted for composition levy under section 10 at the time of registration. Its turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, out of which taxable supply was amounting to ` 80 lakh and exempt supply was amounting to ` 2 lakh. Its turnover crossed ` 150 lakh on 9th July and LLD & Co. had opted for withdrawal of composition scheme on the said date. The firm provided a supply of equipment to GGY Ltd. (an unrelated limited company) on 20th July having market value of ` 21 lakh, wholesale value of ` 22 lakh and maximum retail price was ` 23 lakh. However, the transaction was made at ` 18 lakh. During the month of June, LLD & Co. has received one taxable service covered under reverse charge under section 9(3) from a registered supplier Mr. Sachin Kumar in the course of intra-State supply. LLD & Co. failed to issue any document to Mr. Sachin Kumar relating to this transaction. Other details for this particular inward service are as follows: Particulars Date Supply of service 3rd June Invoice raised by Mr. Sachin Kumar 9th July Payment recorded in the books of LLD & Co. 7th August Payment debited in the bank account of LLD & Co 14th August Payment recorded in the books of Mr. Sachin Kumar 8th August Payment credited in the bank account of Mr. Sachin Kumar 16th August LLD & Co has not opted QRMP Scheme All the amounts given above are exclusive of taxes, wherever applicable. All the supplies referred above are intra-State and price is the sole consideration. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:",The tax payable by LLD & Co. for the quarter ending June will be:,"` 40,000 each under CGST and SGST","` 41,000 each under CGST and SGST","` 80,000 each under CGST and SGST","` 82,000 each under CGST and SGST",B,"As per section 10, the rate of tax in case of composition levy for manufacturer is 0.5% of the turnover, each under CGST and SGST. Since, turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, tax payable is ` 41,000 each under CGST and SGST (0.5% of ` 82 lakh)."
9,5,"LLD & Co., a partnership firm, is engaged exclusively in manufacturing of electric equipment in the State of Gujarat. The firm became liable for registration on 14th April since its turnover exceeded the applicable threshold limit. It applied for registration on 16th May and was granted registration certificate on 20th May. The firm had opted for composition levy under section 10 at the time of registration. Its turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, out of which taxable supply was amounting to ` 80 lakh and exempt supply was amounting to ` 2 lakh. Its turnover crossed ` 150 lakh on 9th July and LLD & Co. had opted for withdrawal of composition scheme on the said date. The firm provided a supply of equipment to GGY Ltd. (an unrelated limited company) on 20th July having market value of ` 21 lakh, wholesale value of ` 22 lakh and maximum retail price was ` 23 lakh. However, the transaction was made at ` 18 lakh. During the month of June, LLD & Co. has received one taxable service covered under reverse charge under section 9(3) from a registered supplier Mr. Sachin Kumar in the course of intra-State supply. LLD & Co. failed to issue any document to Mr. Sachin Kumar relating to this transaction. Other details for this particular inward service are as follows: Particulars Date Supply of service 3rd June Invoice raised by Mr. Sachin Kumar 9th July Payment recorded in the books of LLD & Co. 7th August Payment debited in the bank account of LLD & Co 14th August Payment recorded in the books of Mr. Sachin Kumar 8th August Payment credited in the bank account of Mr. Sachin Kumar 16th August LLD & Co has not opted QRMP Scheme All the amounts given above are exclusive of taxes, wherever applicable. All the supplies referred above are intra-State and price is the sole consideration. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:","Time of supply for the purpose of payment of tax, for transaction with Mr. Sachin Kumar as per GST Laws will be:",07th August,09th July,08th September,08th August,A,"Time of supply for service provided under reverse charge as per section 13(3) will be earlier of: (i) the date of payment as entered in the books of account of the recipient or the date on which the payment is debited in his bank account, whichever is earlier or (ii) the date immediately following 60 days from the date of issue of invoice or any other document, by whatever name called, in lieu thereof by the supplier, in cases where invoice is required to be issued by the supplier, Accordingly, the time of supply is 7th August, being the date of payment as entered in the books of LLD & Co."
9,6,"LLD & Co., a partnership firm, is engaged exclusively in manufacturing of electric equipment in the State of Gujarat. The firm became liable for registration on 14th April since its turnover exceeded the applicable threshold limit. It applied for registration on 16th May and was granted registration certificate on 20th May. The firm had opted for composition levy under section 10 at the time of registration. Its turnover for the quarter ending June (excluding the turnover till the date it becomes liable to register) was ` 82 lakh, out of which taxable supply was amounting to ` 80 lakh and exempt supply was amounting to ` 2 lakh. Its turnover crossed ` 150 lakh on 9th July and LLD & Co. had opted for withdrawal of composition scheme on the said date. The firm provided a supply of equipment to GGY Ltd. (an unrelated limited company) on 20th July having market value of ` 21 lakh, wholesale value of ` 22 lakh and maximum retail price was ` 23 lakh. However, the transaction was made at ` 18 lakh. During the month of June, LLD & Co. has received one taxable service covered under reverse charge under section 9(3) from a registered supplier Mr. Sachin Kumar in the course of intra-State supply. LLD & Co. failed to issue any document to Mr. Sachin Kumar relating to this transaction. Other details for this particular inward service are as follows: Particulars Date Supply of service 3rd June Invoice raised by Mr. Sachin Kumar 9th July Payment recorded in the books of LLD & Co. 7th August Payment debited in the bank account of LLD & Co 14th August Payment recorded in the books of Mr. Sachin Kumar 8th August Payment credited in the bank account of Mr. Sachin Kumar 16th August LLD & Co has not opted QRMP Scheme All the amounts given above are exclusive of taxes, wherever applicable. All the supplies referred above are intra-State and price is the sole consideration. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 6 below:","Which of the following document is mandatory to be issued by LLD & Co., in relation to transaction with Mr. Sachin Kumar as per the GST law?",Bill of supply,Payment voucher,Receipt Voucher,Tax Invoice,B,A registered person who is liable to pay tax under reverse charge under section 9(3)/9(4) shall issue a Payment Voucher at the time of making payment to the supplier.
10,1,"Mr. Suraj Rao of Bhilwara (Rajasthan) is a registered person under GST and is filing monthly returns. His turnover for the preceding year was ` 1.25 crores. He is engaged in the business of various goods and services. He provided the details of following transactions/supplies undertaken by him during the month of February: (i) He executed a hedging contract for a commodity with NCDEX at a price of ` 1,100 per unit for 600 units. Original contract of purchase of the commodity was made @ ` 1,000 per unit. On the date of expiry of future contract i.e. 28th February, the rate of commodity was ` 900 per unit. He squared off the contract without physical delivery of the commodity. He paid ` 2,000 each at the time of entry and exit off the future contract. (ii) He provided repair and maintenance service related to generator to Mr. Rajendra on 5th February, involving both supply of goods being spare parts and supply of service being labour charges. He disclosed the value of goods at ` 10,800 and value of service at ` 25,000 separately in the invoice issued in this regard. Details of inward supplies during the month: (i) Purchase of goods for ` 20,00,000 from a registered person (it includes ` 5,00,000 towards purchase of goods which are exempted). (ii) Purchased a truck for ` 8,00,000 for transportation of goods for delivery to customers. No depreciation was claimed on GST portion. (iii)  Incurred ` 3,50,000 on renovation of office building and debited the expenses (excluding the GST portion) in the Profit and Loss Account under repair and maintenance head. (iv)  Mr. Suraj Rao went to Surat, Gujarat for a business meeting which was mandatory under a law for the time being in force in February and stayed in a GST registered hotel named ""A One Hotel"" for few days. Room accommodation charges for ` 50,000 (taxable value) was paid for the stay. Other information (i) Due to the accountant on leave, GSTR-3B for the month of February, could not be filed on due date prescribed i.e. 20th March. It was filed on 31st March. (ii) Suraj Rao collected an advance payment of ` 2,00,000 plus applicable GST for provision of service in the month of September. However, no tax was deposited on such advance money to the Government even though 5 months has elapsed. All amounts given above are exclusive of taxes, wherever applicable. All supplies are intra-State except otherwise mentioned. All the supplies of goods and services are chargeable to GST @ 9% each under CGST & SGST and @ 18% under IGST except spare parts which are chargeable @ 2.5% each under CGST & SGST and @ 5% under IGST. All the above information pertains to same financial year. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:",Value of outward supply of the contract executed with NCDEX will be:,"` 6,00,000","` 5,40,000","` 6,60,000",Nil,D,"Where the futures contracts have a delivery option and the settlement of contract takes place by way of actual delivery of underlying commodity/currency, then such futures contracts would be treated as normal supply of goods and liable to GST. However, in this case, since the future contact is squared off the without actual physical delivery of the commodity, it will not be deemed as a supply."
