CaseStudyNo,Qno,Chapter
26,3,Chapter XIII – Appointment and Remuneration of Managerial Personnel
26,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
26,5,Chapter XI – Appointment and Qualifications of Directors
27,1,Chapter XXIII – Government Companies
27,2,Chapter XVII – Registered Valuers
27,3,Chapter XVIII – Removal of Names of Companies from the Register of Companies
27,4,Chapter XVIII – Removal of Names of Companies from the Register of Companies
27,5,Chapter XVIII – Removal of Names of Companies from the Register of Companies
28,1,Chapter XX – Winding Up
28,2,Chapter XX – Winding Up
28,3,Chapter XIII – Appointment and Remuneration of Managerial Personnel
28,4,Chapter XX – Winding Up
28,5,Chapter XX – Winding Up
29,1,Chapter XVI – Prevention of Oppression and Mismanagement
29,2,Chapter XV – Compromises Arrangements and Amalgamations
29,3,Chapter XV – Compromises Arrangements and Amalgamations
29,4,Chapter XIV – Inspection Inquiry and Investigation
29,5,Chapter XIV – Inspection Inquiry and Investigation
30,1,Chapter XII – Meetings of Board and its Powers
30,2,Chapter XII – Meetings of Board and its Powers
30,3,Chapter XI – Appointment and Qualifications of Directors
30,4,Chapter XII – Meetings of Board and its Powers
31,1,Chapter XII – Meetings of Board and its Powers
31,2,Chapter XII – Meetings of Board and its Powers
31,3,Chapter XII – Meetings of Board and its Powers
31,4,Chapter XI – Appointment and Qualifications of Directors
32,1,Chapter XV – Compromises Arrangements and Amalgamations
32,2,Chapter XV – Compromises Arrangements and Amalgamations
32,3,Chapter XV – Compromises Arrangements and Amalgamations
32,4,Chapter XV – Compromises Arrangements and Amalgamations
33,1,Chapter XVII – Registered Valuers
33,2,Chapter XVII – Registered Valuers
33,3,Chapter XVII – Registered Valuers
33,4,Chapter XVII – Registered Valuers
34,1,Chapter XVI – Prevention of Oppression and Mismanagement
34,2,Chapter XVI – Prevention of Oppression and Mismanagement
34,3,Chapter XVI – Prevention of Oppression and Mismanagement
34,4,Chapter XVI – Prevention of Oppression and Mismanagement
35,1,Chapter XXVI – Nidhi Companies
35,2,Chapter XXVI – Nidhi Companies
35,3,Chapter XXVI – Nidhi Companies
35,4,Chapter XXVI – Nidhi Companies
36,1,SEBI – PIT Regulations
36,2,SEBI – PIT Regulations
36,3,SEBI – PIT Regulations
36,4,SEBI – PIT Regulations
36,5,SEBI – SEBI Act 1992
37,1,Chapter XXVI – Nidhi Companies
37,2,Chapter XXVI – Nidhi Companies
37,3,Chapter XXVI – Nidhi Companies
37,4,Chapter XXVI – Nidhi Companies
38,1,Chapter XI – Appointment and Qualifications of Directors
38,2,Chapter XI – Appointment and Qualifications of Directors
38,3,Chapter XI – Appointment and Qualifications of Directors
38,4,Chapter XII – Meetings of Board and its Powers
39,1,Chapter XIII – Appointment and Remuneration of Managerial Personnel
39,2,Chapter XIII – Appointment and Remuneration of Managerial Personnel
39,3,Chapter XIII – Appointment and Remuneration of Managerial Personnel
39,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
40,1,Chapter XXVI – Nidhi Companies
40,2,Chapter XXVI – Nidhi Companies
40,3,Chapter XXVI – Nidhi Companies
40,4,Chapter XXVI – Nidhi Companies
40,5,Chapter XXVI – Nidhi Companies
41,1,Chapter XI – Appointment and Qualifications of Directors
41,2,Chapter XI – Appointment and Qualifications of Directors
41,3,Chapter XII – Meetings of Board and its Powers
41,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
41,5,Chapter XIII – Appointment and Remuneration of Managerial Personnel
42,1,Chapter XII – Meetings of Board and its Powers
42,2,Chapter XII – Meetings of Board and its Powers
42,3,Chapter XII – Meetings of Board and its Powers
42,4,Chapter XV – Compromises Arrangements and Amalgamations
42,5,Chapter XV – Compromises Arrangements and Amalgamations
43,1,SEBI – LODR Regulations
43,2,SEBI – LODR Regulations
43,3,SEBI – LODR Regulations
43,4,SEBI – LODR Regulations
44,1,Economic Laws – FEMA
44,2,Economic Laws – FEMA
44,3,Economic Laws – FEMA
44,4,Economic Laws – FEMA
44,5,Economic Laws – FEMA
45,1,Economic Laws – IBC
45,2,Economic Laws – IBC
45,3,Economic Laws – IBC
45,4,Economic Laws – IBC
45,5,Economic Laws – IBC
45,6,Economic Laws – IBC
45,7,Economic Laws – IBC
46,1,Chapter XI – Appointment and Qualifications of Directors
46,2,Chapter XIII – Appointment and Remuneration of Managerial Personnel
46,3,Chapter XI – Appointment and Qualifications of Directors
46,4,Chapter XIII – Appointment and Remuneration of Managerial Personnel
46,5,Chapter XIII – Appointment and Remuneration of Managerial Personnel
46,6,Chapter XIII – Appointment and Remuneration of Managerial Personnel
47,1,Economic Laws – IBC
47,2,Economic Laws – IBC
47,3,Economic Laws – IBC
47,4,Economic Laws – IBC
47,5,Economic Laws – IBC
47,6,Economic Laws – IBC
47,7,Economic Laws – IBC
47,8,Economic Laws – IBC
48,1,Chapter XIII – Appointment and Remuneration of Managerial Personnel
48,2,Chapter XIII – Appointment and Remuneration of Managerial Personnel
48,3,Chapter XII – Meetings of Board and its Powers
48,4,Chapter XII – Meetings of Board and its Powers
48,5,Chapter XV – Compromises Arrangements and Amalgamations
49,1,Economic Laws – IBC
49,2,Economic Laws – IBC
49,3,Economic Laws – IBC
49,4,Economic Laws – IBC
49,5,Economic Laws – IBC
49,6,Economic Laws – IBC
49,7,Economic Laws – IBC
49,8,Economic Laws – IBC
50,1,Economic Laws – FCRA
50,2,Economic Laws – FCRA
50,3,Economic Laws – FCRA
50,4,Economic Laws – FCRA
50,5,Economic Laws – FCRA
50,6,Economic Laws – FCRA
